ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT,MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATIONZ,ORIENTATIONX,ORIENTATIONY,PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.0742,4.9578,8.5369,1.015,4.9051,8.4309,0.0473,-0.0048,0.0072,0.0233,0.0202,0.0053,195,14.77,-7.15,-37.07,300.48,-29.94,-6.88,2,981.05,49.211,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,10,2018-07-23 11:56:13:967
0.8164,4.6769,8.7333,0.784,4.6139,8.6178,0.0233,0.0098,0.0161,-0.0875,0.0454,-7.00E-04,211,16.96,-4.2,-37.58,303.63,-28.07,-5.2,2,981.05,61.671,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,509,2018-07-23 11:56:14:466
0.7023,4.5787,8.9336,0.7254,4.5199,8.6726,-0.0334,-0.0054,0.1378,-0.0264,0.082,-0.0455,219,18.09,-8.31,-37.97,294.33,-27.53,-5.15,2,981.05,61.377,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,1009,2018-07-23 11:56:14:966
-0.1572,3.7783,8.2576,0.2274,3.8832,9.0022,-0.3873,-0.1497,-0.8483,-0.0051,0.2499,-0.0455,268,19.75,-4.41,-35.59,295.45,-23.32,-2.41,2,981.05,62.843,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,1510,2018-07-23 11:56:15:467
0.0439,3.5373,10.2847,-0.1563,3.651,9.1003,0.2025,-0.1669,1.0518,0.3347,0.4665,-0.2017,279,19.73,-3.69,-37.12,294.27,-20.76,-0.87,2,981.05,53.443,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,2010,2018-07-23 11:56:15:967
0.83,3.9283,8.9831,0.6494,4.0848,8.8917,0.1723,-0.2088,-0.0225,0.0446,0.1885,0.044,192,17.81,-3.22,-37.61,301.13,-24.62,-4.18,2,981.05,58.78,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,2510,2018-07-23 11:56:16:467
0.2737,4.3409,9.2576,0.2406,4.2597,8.8299,0.0302,0.0304,0.3224,-0.0701,0.0099,-0.0497,234,18.73,-5.89,-34.78,295.84,-25.99,-1.68,2,981.05,63.139,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,3009,2018-07-23 11:56:16:966
0.3519,4.289,8.9487,0.2419,4.3613,8.7801,0.1072,-0.1219,0.0686,-0.0821,-0.0665,0.0717,239,19.92,-4.77,-37.95,300.83,-26.71,-1.22,2,981.04,62.45,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,3510,2018-07-23 11:56:17:467
0.1141,4.404,8.7979,0.2616,4.3825,8.769,-0.1504,-0.0275,-0.0691,-0.014,0.0053,-0.0053,239,18.25,-7.54,-35.38,293.43,-26.59,-1.75,2,981.04,57.157,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,4010,2018-07-23 11:56:17:967
0.1939,4.4439,9.0461,0.2361,4.362,8.7799,-0.0449,0.0312,0.1642,-0.0136,-0.004,-0.0277,243,19,-7.89,-35.59,293.38,-26.46,-1.58,2,981.04,49.435,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 20,4509,2018-07-23 11:56:18:466
-0.0591,4.0313,9.517,0.2792,4.0728,8.9166,-0.3415,-0.0879,0.4989,-0.1436,0.3334,0.0476,256,19,-7.89,-35.12,289.02,-25.07,-2.91,2,981.04,42.145,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,17 / 21,5010,2018-07-23 11:56:18:967
0.6185,4.0201,9.663,0.4311,3.9083,8.9838,0.1823,0.0659,0.5738,-0.2384,-0.2234,0.0042,256,18.88,-10.06,-34.84,282.02,-23.49,-2.75,2,981.04,57.282,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,17 / 21,5510,2018-07-23 11:56:19:467
0.3136,3.7982,9.6407,0.3371,3.722,9.0666,-0.0272,0.0349,0.4734,-0.0953,0.0688,0.0405,268,18.27,-9.59,-35.04,281.06,-22.31,-2.13,2,981.04,58.334,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,6010,2018-07-23 11:56:19:967
0.419,3.8956,9.0437,0.9677,3.8769,8.9557,-0.559,-0.0222,-0.0064,0.0081,-0.3615,0.2042,254,17.07,-4.11,-37.77,298.26,-23.33,-4.68,2,981.04,60.173,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,6509,2018-07-23 11:56:20:466
0.9122,3.4495,9.1084,1.3493,3.399,9.0993,-0.4501,0.0179,-0.0782,-0.0892,0.0372,-0.1073,226,13.96,-6.36,-38.76,289.66,-20.57,-9.08,2,981.04,59.132,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,7010,2018-07-23 11:56:20:967
1.1125,3.3393,9.007,1.1851,3.3233,9.15,-0.1062,-0.0952,-0.1122,0.0645,0.0156,-0.0639,243,16.57,-4.61,-37.97,288.62,-19.81,-7.38,2,981.04,61.356,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,7510,2018-07-23 11:56:21:467
1.0247,3.5556,9.0118,1.0026,3.5218,9.0974,0.0129,0.0017,-0.1686,0.0152,-0.0015,-0.01,243,13.84,-3.18,-39.44,300.07,-20.98,-6.29,2,981.04,30.76,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,8009,2018-07-23 11:56:21:966
1.1276,3.6322,9.1267,1.0349,3.5255,9.0923,0.0836,0.0757,-0.0456,-0.0264,0.0159,0.0011,243,15.91,-6.57,-36.27,285.96,-21.15,-6.54,2,981.04,61.499,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,8510,2018-07-23 11:56:22:467
1.13,3.5005,9.2456,1.0848,3.5354,9.0827,0.0359,-0.0652,0.0849,-0.015,-0.0349,0.0131,239,16.31,-5.33,-40.62,294.36,-21.21,-6.78,2,981.04,62.373,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,9010,2018-07-23 11:56:22:967
1.1189,3.5508,9.3127,1.0845,3.5458,9.0786,0.0237,-0.0297,0.1453,0.0283,0.012,-0.0235,239,15.06,-4.75,-36.49,291.68,-21.2,-6.81,2,981.03,57.068,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,9509,2018-07-23 11:56:23:466
